Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
430,Kofi Opare\Kofi-Opare,ca CAN,DF,D.C. United,27,1990,11,10,862,9.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,0.06,0.00,0.06,0.06,0.06,Matches
431,Edward Opoku\Edward-Opoku,us USA,FW,Columbus,21,1996,5,1,153,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.14,0.19,0.32,0.14,0.32,Matches
432,Alfredo Ortuño\Alfredo-Ortuno,es ESP,FW,Real Salt Lake,27,1991,3,1,119,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
433,Jonathan Osorio\Jonathan-Osorio,ca CAN,MFFW,Toronto FC,25,1992,30,30,2599,28.9,10,6,10,0,0,6,0,0.35,0.21,0.55,0.35,0.55,7.9,7.9,5.7,13.5,0.27,0.20,0.47,0.27,0.47,Matches
434,David Ousted\David-Ousted,dk DEN,GK,D.C. United,32,1985,17,17,1530,17.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
435,Rodrigo Pacheco\Rodrigo-Pacheco,ar ARG,FW,Los Angeles FC,21,1996,1,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
436,Frantz Pangop\Frantz-Pangop,cm CMR,FWMF,Minnesota,24,1993,9,1,181,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.07,0.23,0.30,0.07,0.30,Matches
437,Cristhian Paredes\Cristhian-Paredes,py PAR,MF,Portland,19,1998,19,18,1407,15.6,1,2,1,0,0,1,0,0.06,0.13,0.19,0.06,0.19,1.7,1.7,1.0,2.6,0.11,0.06,0.17,0.11,0.17,Matches
438,Tim Parker\Tim-Parker,us USA,DF,NY Red Bulls,24,1993,29,29,2610,29.0,1,2,1,0,0,5,0,0.03,0.07,0.10,0.03,0.10,2.7,2.7,1.3,4.0,0.09,0.04,0.14,0.09,0.14,Matches
439,Michael Parkhurst\Michael-Parkhurst,us USA,DF,Atlanta,34,1984,33,32,2902,32.2,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.7,0.7,0.00,0.02,0.02,0.00,0.02,Matches
440,Kevin Partida\Kevin-Partida,us USA,DF,San Jose,22,1995,4,4,288,3.2,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
441,PC\PC,br BRA,DFMF,Orlando City,23,1994,8,5,418,4.6,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.9,0.08,0.12,0.20,0.08,0.20,Matches
