Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
48,Kwame Awuah\Kwame-Awuah,ca CAN,DFMF,NYCFC,21,1995,4,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
49,Micheal Azira\Micheal-Azira,ug UGA,MF,Colorado,29,1987,30,28,2567,28.5,0,1,0,0,0,8,0,0.00,0.04,0.04,0.00,0.04,Matches
50,Dominique Badji\Dominique-Badji,sn SEN,FWMF,Colorado,24,1992,33,29,2533,28.1,9,4,9,0,1,5,0,0.32,0.14,0.46,0.32,0.46,Matches
51,Jack Barmby\Jack-Barmby,eng ENG,FWMF,Portland,22,1994,10,0,108,1.2,1,0,1,0,0,3,0,0.83,0.00,0.83,0.83,0.83,Matches
52,Giles Barnes\Giles-Barnes,jm JAM,MFFW,Orlando City,28,1988,34,23,2140,23.8,3,1,3,0,0,0,0,0.13,0.04,0.17,0.13,0.17,Matches
53,Chad Barrett\Chad-Barrett,us USA,FW,Real Salt Lake,31,1985,3,0,68,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
54,Michael Barrios\Michael-Barrios,co COL,MFFW,FC Dallas,25,1991,34,28,2562,28.5,3,12,3,0,0,5,0,0.11,0.42,0.53,0.11,0.53,Matches
55,Hadji Barry\Hadji-Barry,gn GUI,FWMF,Orlando City,24,1992,3,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
56,Jorge Bava\Jorge-Bava,uy URU,GK,Chicago,35,1981,8,8,720,8.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
57,DaMarcus Beasley\DaMarcus-Beasley,us USA,DF,Houston,34,1982,24,22,1986,22.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
58,Kyle Beckerman\Kyle-Beckerman,us USA,MF,Real Salt Lake,34,1982,26,26,2240,24.9,4,0,4,0,0,9,3,0.16,0.00,0.16,0.16,0.16,Matches
59,Alejandro Bedoya\Alejandro-Bedoya,us USA,MF,Philadelphia,29,1987,28,28,2508,27.9,2,3,2,0,1,6,0,0.07,0.11,0.18,0.07,0.18,Matches
60,Steven Beitashour\Steven-Beitashour,ir IRN,MFDF,Toronto FC,29,1987,22,17,1592,17.7,0,4,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,Matches
