Player,Min,year,PlayerName,PlayerID
Cristian Techera\Cristian-Techera,1583,2016,Cristian Techera,Cristian-Techera
Cyle Larin\Cyle-Larin,2448,2016,Cyle Larin,Cyle-Larin
DaMarcus Beasley\DaMarcus-Beasley,1973,2016,DaMarcus Beasley,DaMarcus-Beasley
Daigo Kobayashi\Daigo-Kobayashi,714,2016,Daigo Kobayashi,Daigo-Kobayashi
Dairon Asprilla\Dairon-Asprilla,489,2016,Dairon Asprilla,Dairon-Asprilla
Damien Perquis\Damien-Perquis,985,2016,Damien Perquis,Damien-Perquis
Damien Perrinelle\Damien-Perrinelle,728,2016,Damien Perrinelle,Damien-Perrinelle
Dan Kennedy\Dan-Kennedy,115,2016,Dan Kennedy,Dan-Kennedy
Daniel Lovitz\Daniel-Lovitz,408,2016,Daniel Lovitz,Daniel-Lovitz
Daniel Royer\Daniel-Royer,275,2016,Daniel Royer,Daniel-Royer
Daniel Steres\Daniel-Steres,2656,2016,Daniel Steres,Daniel-Steres
Darlington Nagbe\Darlington-Nagbe,2415,2016,Darlington Nagbe,Darlington-Nagbe
Darren Mattocks\Darren-Mattocks,936,2016,Darren Mattocks,Darren-Mattocks
Darrius Barnes\Darrius-Barnes,344,2016,Darrius Barnes,Darrius-Barnes
Darwin Cerén\Darwin-Ceren,2113,2016,Darwin Cerén,Darwin-Ceren
Darwin Jones\Darwin-Jones,24,2016,Darwin Jones,Darwin-Jones
David Accam\David-Accam,1934,2016,David Accam,David-Accam
David Arshakyan\David-Arshakyan,326,2016,David Arshakyan,David-Arshakyan
David Bingham\David-Bingham,3016,2016,David Bingham,David-Bingham
David Choinière\David-Choiniere,75,2016,David Choinière,David-Choiniere
David Edgar\David-Edgar,720,2016,David Edgar,David-Edgar
David Horst\David-Horst,2212,2016,David Horst,David-Horst
David Mateos\David-Mateos,1759,2016,David Mateos,David-Mateos
David Ousted\David-Ousted,2970,2016,David Ousted,David-Ousted
David Rocha\David-Rocha,60,2016,David Rocha,David-Rocha
David Romney\David-Romney,731,2016,David Romney,David-Romney
David Villa\David-Villa,2869,2016,David Villa,David-Villa
Dax McCarty\Dax-McCarty,2264,2016,Dax McCarty,Dax-McCarty
Demar Phillips\Demar-Phillips,2183,2016,Demar Phillips,Demar-Phillips
Dennis Castillo\Dennis-Castillo,125,2016,Dennis Castillo,Dennis-Castillo
Derrick Etienne\Derrick-Etienne,5,2016,Derrick Etienne,Derrick-Etienne
Devon Sandoval\Devon-Sandoval,234,2016,Devon Sandoval,Devon-Sandoval
Deybi Flores\Deybi-Flores,45,2016,Deybi Flores,Deybi-Flores
Didier Drogba\Didier-Drogba,1650,2016,Didier Drogba,Didier-Drogba
Diego Chará\Diego-Chara,2599,2016,Diego Chará,Diego-Chara
Diego Fagúndez\Diego-Fagundez,2236,2016,Diego Fagúndez,Diego-Fagundez
Diego Martínez\Diego-Martinez,263,2016,Diego Martínez,Diego-Martinez
Diego Rubio\Diego-Rubio,338,2016,Diego Rubio,Diego-Rubio
Diego Valeri\Diego-Valeri,2629,2016,Diego Valeri,Diego-Valeri
Dillon Powers\Dillon-Powers,2121,2016,Dillon Powers,Dillon-Powers
Dillon Serna\Dillon-Serna,284,2016,Dillon Serna,Dillon-Serna
Dilly Duka\Dilly-Duka,621,2016,Dilly Duka,Dilly-Duka
Dom Dwyer\Dom-Dwyer,2822,2016,Dom Dwyer,Dom-Dwyer
Dominic Oduro\Dominic-Oduro,2028,2016,Dominic Oduro,Dominic-Oduro
Dominique Badji\Dominique-Badji,1576,2016,Dominique Badji,Dominique-Badji
Donnie Smith\Donnie-Smith,214,2016,Donnie Smith,Donnie-Smith
Donny Toia\Donny-Toia,1367,2016,Donny Toia,Donny-Toia
Drew Moor\Drew-Moor,2880,2016,Drew Moor,Drew-Moor
Dylan Remick\Dylan-Remick,538,2016,Dylan Remick,Dylan-Remick
Eirik Johansen\Eirik-Johansen,90,2016,Eirik Johansen,Eirik-Johansen
Emil Larsen\Emil-Larsen,34,2016,Emil Larsen,Emil-Larsen
Emmanuel Appiah\Emmanuel-Appiah,90,2016,Emmanuel Appiah,Emmanuel-Appiah
Emmanuel Boateng\Emmanuel-Boateng,1545,2016,Emmanuel Boateng,Emmanuel-Boateng
Eric Alexander\Eric-Alexander,1377,2016,Eric Alexander,Eric-Alexander
Eric Ayuk\Eric-Ayuk,90,2016,Eric Ayuk,Eric-Ayuk
Eric Gehrig\Eric-Gehrig,260,2016,Eric Gehrig,Eric-Gehrig
Eric Kronberg\Eric-Kronberg,129,2016,Eric Kronberg,Eric-Kronberg
Eric Miller\Eric-Miller,2118,2016,Eric Miller,Eric-Miller
Erick Torres\Erick-Torres,404,2016,Erick Torres,Erick-Torres
Erik Friberg\Erik-Friberg,1583,2016,Erik Friberg,Erik-Friberg
Erik Hurtado\Erik-Hurtado,1237,2016,Erik Hurtado,Erik-Hurtado
Eriq Zavaleta\Eriq-Zavaleta,1275,2016,Eriq Zavaleta,Eriq-Zavaleta
Ethan Finlay\Ethan-Finlay,2460,2016,Ethan Finlay,Ethan-Finlay
Ethan White\Ethan-White,680,2016,Ethan White,Ethan-White
Evan Bush\Evan-Bush,2931,2016,Evan Bush,Evan-Bush
